CENG104;COMPUTER PROGRAMMING II;1;6;C;D;OGR.GOR. YUSUF EVREN AYKAC
CHEM101;GENERAL CHEMISTRY;1;5;C;S;DOC.DR. NURAY CELEBI
ENG102;ACADEMIC ENGLISH II;1;4;C;D;OKUTMAN ARZU ERCAN
MATH102;CALCULUS II;1;6;C;S;DR. OGR. UYESI SELIM BAHADIR
MATH106;PROBABILITY AND STATISTICS;1;6;C;S;DR. OGR. UYESI OSMAN SERDAR GEDIK
PHYS102;PHYSICS II;1;6;C;S;PROF.DR. ABDULLAH YILDIZ
TDL102;TURK DILI II;1;1;C;S;DOC.DR. MUSTAFA ARSLAN
TIT101;TURK INKILAP TARIHI I;1;1;C;S;DR. OGR. UYESI TEKIN ONAL
CENG202;DATA STRUCTURES;2;7;C;D;DR. OGR. UYESI SHAFQAT UR REHMAN
CENG204;COMPUTER SYSTEM ARCHITECTURE;2;7;C;D;DR. OGR. UYESI TAREK NAJJAR
CENG206;PROGRAMMING LANGUAGES;2;7;C;D;DR. OGR. UYESI FAHREDDIN SUKRU TORUN
ENGR202;ENGINEERING MATHEMATICS II;2;6;C;S;DR. OGR. UYESI SELIM BAHADIR
ENGR254;PRINCIPLES OF BODY MOVEMENT;2;3;E;S;DR. OGR. UYESI OZKAN KILIC
ENGR256;INTRODUCTION TO TURKISH SIGN ;2;3;E;S;DR. OGR. UYESI OZKAN KILIC
CENG302;FORMAL LANGUAGES AND AUTOMATA;3;6;C;D;DR. OGR. UYESI OZKAN KILIC
CENG304;COMPUTER NETWORKS;3;6;C;D;DR. OGR. UYESI MUSTAFA YENIAD
CENG306;SOFTWARE ENGINEERING;3;6;C;D;DR. OGR. UYESI HILAL KAYA
CENG310;HUMAN COMPUTER INTERACTION;3;5;E;D;DR. OGR. UYESI MUHAMMED ABDULLAH BULBUL
CENG316;PARALLEL PROGRAMMING;3;5;E;D;DR. OGR. UYESI FAHREDDIN SUKRU TORUN
CENG317;ARTIFICIAL INTELLIGENCE;3;5;E;D;DR. OGR. UYESI HILAL KAYA
CENG318;MICROPROCESSOR SYSTEMS;3;5;E;D;DR. OGR. UYESI TAREK NAJJAR
CENG415;APPLICATIONS OF COMPUTER GRAPH;3;5;E;D;DR. OGR. UYESI MUHAMMED ABDULLAH BULBUL
ENGR404;INTRODUCTION TO INNOVATION ;3;3;E;D;DR. OGR. UYESI MUSTAFA GUNGORMUS
CENG404;SPECIAL TOPICS IN CENG II;4;5;E;D;DR. OGR. UYESI SHAFQAT UR REHMAN
CENG427;PROGRAMMING OF MOBILE DEVICES;4;5;E;D;PROF.DR. FATIH VEHBI CELEBI
CENG451;PRINCIPLES OF CYBER PHYSICAL ;4;5;E;D;PROF.DR. REMZI YILDIRIM
CENG466;MANAGEMENT INFORMATION SYSTEMS;4;5;E;D;DOC.DR. IHSAN TOLGA MEDENI
CENG470;INTRODUCTION TO COGNITIVE COMP;4;5;E;D;DR. OGR. UYESI OZKAN KILIC
CENG472;BIG DATA ANALYTICS;4;5;E;D;OGR.UYE. AYSE KELES
CENG474;COMMUNICATION AND NETWORK SECURITY;4;5;E;D;DR. OGR. UYESI MUHAMMED ABDULLAH BULBUL
ENGR402;PRINCIPLES OF OCCUPATIONAL;4;3;C;D;OGR.UYE. SERCAN DEMIR
